025334,33.3,66.7,66.7,62.9,63.7,20.0,40.0,40.0,75.4,77.3,100.0,100.0,100.0,81.0,81.0,11.1,11.1,33.3,87.9,89.3,0.0,0.0,0.0,112.4,113.8,0.0,0.0,0.0,120.1,121.8,0.0,0.0,0.0,125.6,128.8
029170,16.7,16.7,16.7,61.4,62.9,0.0,0.0,33.3,75.8,77.0,0.0,100.0,100.0,81.8,81.8,0.0,0.0,0.0,89.8,89.9,0.0,0.0,0.0,114.7,115.3,0.0,12.5,12.5,120.2,121.6,,,,,
030732,,,,,,25.0,25.0,50.0,75.3,76.4,50.0,50.0,50.0,80.8,82.5,12.5,12.5,25.0,87.9,89.4,0.0,0.0,0.0,111.9,113.8,0.0,0.0,100.0,117.4,118.5,,,,,
025344,33.3,33.3,33.3,63.6,64.4,0.0,0.0,0.0,76.1,77.9,0.0,12.5,18.8,83.0,84.4,0.0,0.0,14.3,89.9,90.7,0.0,28.6,28.6,113.1,114.7,0.0,20.0,20.0,120.4,121.3,,,,,
030324,100.0,100.0,100.0,61.8,61.8,,,,,,0.0,25.0,25.0,81.3,82.5,0.0,25.0,25.0,88.0,88.7,50.0,50.0,50.0,112.4,113.4,0.0,0.0,0.0,120.9,121.9,0.0,0.0,0.0,128.7,129.1
029809,0.0,0.0,66.7,63.8,64.5,12.5,25.0,25.0,75.3,77.8,0.0,0.0,0.0,83.8,83.8,33.3,33.3,33.3,90.2,90.4,0.0,0.0,0.0,114.7,114.7,,,,,,,,,,
030749,0.0,25.0,25.0,60.8,62.4,14.3,28.6,28.6,75.1,78.1,,,,,,0.0,0.0,0.0,91.3,91.3,,,,,,,,,,,,,,,
034506,0.0,0.0,0.0,61.5,62.6,0.0,20.0,20.0,75.6,76.7,0.0,0.0,0.0,83.4,84.2,16.7,16.7,16.7,88.5,89.7,,,,,,0.0,0.0,0.0,123.1,123.1,,,,,
027828,33.3,33.3,33.3,61.0,62.6,5.9,11.8,17.7,75.2,76.8,0.0,3.9,15.4,81.1,83.7,0.0,0.0,0.0,90.1,90.3,,,,,,,,,,,,,,,
034751,25.0,25.0,50.0,59.7,62.1,12.5,12.5,12.5,73.6,75.3,,,,,,0.0,0.0,0.0,89.4,92.4,0.0,0.0,0.0,126.2,126.2,,,,,,,,,,
035388,0.0,0.0,0.0,62.8,63.8,,,,,,0.0,0.0,0.0,82.7,82.7,,,,,,0.0,0.0,0.0,121.5,121.5,,,,,,,,,,
036170,16.7,16.7,33.3,61.7,62.7,22.2,33.3,55.6,73.5,74.9,0.0,0.0,25.0,80.9,82.8,0.0,0.0,0.0,89.5,89.5,,,,,,,,,,,,,,,
040017,,,,,,50.0,50.0,75.0,71.8,74.0,,,,,,66.7,66.7,83.3,85.2,86.8,,,,,,0.0,100.0,100.0,117.0,117.0,,,,,
038053,0.0,0.0,0.0,62.9,63.9,0.0,0.0,0.0,76.2,77.5,0.0,0.0,12.5,81.0,81.9,,,,,,11.1,11.1,22.2,110.5,114.4,,,,,,,,,,
039502,0.0,0.0,100.0,62.1,62.1,0.0,0.0,100.0,77.2,77.2,50.0,100.0,100.0,81.3,82.2,,,,,,,,,,,,,,,,,,,,
